Graph,Random Critical Fraction,Targeted Critical Fraction,Average Shortest Path Length,Average Clustering Coefficient,No. Connected Components
Garr200109,0.3181818181818182,0.09090909090909091,2.4025974025974026,0.02510822510822511,1
GtsCzechRepublic,0.1875,0.125,4.421370967741935,0.0,1
Amres,0.04,0.04,4.486666666666666,0.0,1
Renater2004,0.26666666666666666,0.06666666666666667,2.7908045977011495,0.05904761904761904,1
Arpanet196912,0.5,0.5,1.3333333333333333,0.5833333333333334,1
Cesnet200603,0.41025641025641024,0.05128205128205128,3.165991902834008,0.04448827525750603,1
Cogentco,0.233502538071066,0.050761421319796954,10.510411271107428,0.012086052695189751,1
Garr199904,0.43478260869565216,0.08695652173913043,2.430830039525692,0.020703933747412008,1
Renam,0.4,0.2,1.6,0.0,1
Tinet,0.3584905660377358,0.16981132075471697,4.249637155297533,0.21595197255574614,1
Abvt,0.34782608695652173,0.08695652173913043,3.2845849802371543,0.15072463768115943,1
EliBackbone,0.25,0.15,2.8526315789473684,0.21999999999999997,1
Columbus,0.17142857142857143,0.05714285714285714,7.239751552795031,0.04523809523809524,1
Aconet,0.5217391304347826,0.08695652173913043,2.4347826086956523,0.14492753623188404,1
York,0.17391304347826086,0.13043478260869565,5.217391304347826,0.07246376811594202,1
Telcove,0.4657534246575342,0.0136986301369863,3.488933601609658,0.0,3
Epoch,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,1
Ion,0.104,0.08,10.136903225806451,0.0112,1
Deltacom,0.30973451327433627,0.061946902654867256,7.160240202275601,0.10657395701643489,1
TLex,0.25,0.16666666666666666,2.0757575757575757,0.13373015873015873,1
Internetmci,0.3684210526315789,0.21052631578947367,2.391812865497076,0.39924812030075185,1
Bics,0.3333333333333333,0.21212121212121213,3.606060606060606,0.14155844155844158,1
Bellsouth,0.35294117647058826,0.0392156862745098,3.3701960784313725,0.16154043316673072,1
LambdaNet,0.16666666666666666,0.07142857142857142,6.29732868757259,0.0,1
Iij,0.2702702702702703,0.08108108108108109,2.563063063063063,0.4857326386738151,1
Canerie,0.46875,0.0625,3.7399193548387095,0.1244047619047619,1
CrlNetworkServices,0.21212121212121213,0.15151515151515152,4.696969696969697,0.0,1
Syringa,0.06756756756756757,0.04054054054054054,11.952239911144021,0.0,1
Noel,0.3684210526315789,0.10526315789473684,2.91812865497076,0.1105263157894737,1
Nsfcnet,0.1,0.1,2.0,0.13999999999999999,2
Belnet2004,0.2608695652173913,0.08695652173913043,2.1699604743083003,0.6438923395445135,1
Chinanet,0.47619047619047616,0.07142857142857142,2.5261324041811846,0.2576970231105569,1
Latnet,0.36231884057971014,0.014492753623188406,3.9595055413469735,0.058070964517741124,1
Oxford,0.4,0.2,3.3,0.15833333333333333,1
Belnet2007,0.42857142857142855,0.09523809523809523,3.4095238095238094,0.0,1
SwitchL3,0.35714285714285715,0.14285714285714285,3.248548199767712,0.23163265306122446,1
Fccn,0.17391304347826086,0.08695652173913043,2.766798418972332,0.14626701800614844,1
Uninett2010,0.3108108108108108,0.0945945945945946,4.583117363939282,0.03018018018018018,1
HiberniaCanada,0.3076923076923077,0.15384615384615385,2.9871794871794872,0.0,1
Garr199905,0.43478260869565216,0.08695652173913043,2.430830039525692,0.020703933747412008,1
Goodnet,0.4117647058823529,0.17647058823529413,2.125,0.41274509803921566,1
Easynet,0.3684210526315789,0.2631578947368421,3.0584795321637426,0.15789473684210525,1
Garr201110,0.2711864406779661,0.05084745762711865,3.5973115137346583,0.05510196018670595,1
Digex,0.22580645161290322,0.16129032258064516,4.7612903225806456,0.0,1
Litnet,0.2558139534883721,0.046511627906976744,2.972314507198228,0.0,1
